ESV Name,Name,KMZ Name,MSG Name,NLT Name,NIV Name,Lat,Lon,Passages,Comment
Antioch 1,Antioch [Syria],TBC,TBC,TBC,"Acts 6:5, Acts 11:19, Acts 11:20, Acts 11:22, Acts 11:26, Acts 11:27, Acts 13:1, Acts 14:26, Acts 15:22, Acts 15:23, Acts 15:30, Acts 15:35, Acts 18:22, Gal 2:11",0.0,0.0,TBC,TBC
Antioch 2,Antioch [Pisidia],TBC,TBC,TBC,"Acts 13:14, Acts 14:19, Acts 14:21, 2 Tim 3:11",0.0,0.0,TBC,TBC
Antipatris,Antipatris,TBC,TBC,TBC,Acts 23:31,0.0,0.0,TBC,TBC
Aphek 1,TBC,TBC,"Josh 13:4, Josh 19:30",TBC,TBC,34.066067,35.865801,http://www.traveljournals.net/explore/lebanon/map/m1170262/hamul.html,http://www.traveljournals.net/explore/lebanon/map/m1170262/hamul.html
Aphek 2,Aphek [32.1 x 34.9],TBC,TBC,TBC,"Josh 12:18, 1 Sam 4:1, 1 Sam 29:1",0.0,0.0,TBC,TBC
Aphek 3,Aphek [32.8 x 35.7],TBC,TBC,TBC,"1 Kgs 20:26, 1 Kgs 20:30, 2 Kgs 13:17",0.0,0.0,TBC,TBC
Aphekah,Aphek 2,TBC,TBC,TBC,Josh 15:53,0.0,0.0,TBC,TBC
Aphik,Aphek 1,TBC,TBC,TBC,Judg 1:31,0.0,0.0,TBC,TBC
Apollonia,Apollonia,TBC,TBC,TBC,Acts 17:1,0.0,0.0,TBC,TBC
Ar,Ar / Ar of Moab,TBC,TBC,TBC,"Num 21:15, Num 21:28, Deut 2:9, Deut 2:18, Deut 2:29, Isa 15:1",0.0,0.0,TBC,TBC
Arab,TBC,TBC,Josh 15:52,TBC,TBC,31.450746,35.045648,TBC,TBC
Arabah,TBC,TBC,"Deut 1:1, Deut 1:7, Deut 2:8, Deut 3:17, Deut 4:49, Deut 11:30, Josh 8:14, Josh 11:2, Josh 11:16, Josh 12:1, Josh 12:3, Josh 12:8, Josh 18:18, 1 Sam 23:24, 2 Sam 2:29, 2 Sam 4:7, 2 Kgs 25:4, Jer 39:4, Jer 52:7, Ezek 47:8",TBC,TBC,32.029676,35.520995,TBC,TBC
Arabia,region,TBC,"2 Chr 9:14, Isa 21:13, Jer 25:24, Ezek 27:21, Ezek 30:5, Gal 1:17, Gal 4:25",TBC,TBC,27.4,37.7,TBC,TBC
Arad,Arad,TBC,TBC,TBC,"Num 21:1, Num 33:40, Josh 12:14, Judg 1:16",0.0,0.0,TBC,TBC
Aram,TBC,TBC,"Num 23:7, 2 Sam 8:6, 2 Sam 15:8, 1 Chr 2:23, Hos 12:12",TBC,TBC,34.85,39.12,TBC,TBC
Aram-maacah,TBC,TBC,1 Chr 19:6,TBC,TBC,33.2,36.5,TBC,TBC
Aram-naharaim,TBC,TBC,Ps 60:1,TBC,TBC,35.1,42.0,TBC,TBC
Aram-zobah,Damascus,TBC,TBC,TBC,Ps 60:1,0.0,0.0,TBC,TBC
Ararat,Mount Ararat,TBC,TBC,TBC,"Gen 8:4, 2 Kgs 19:37, Isa 37:38, Jer 51:27",0.0,0.0,TBC,TBC
Areopagus,<Athens,TBC,TBC,TBC,"Acts 17:19, Acts 17:22",0.0,0.0,TBC,TBC
Argob,TBC,TBC,"Deut 3:4, Deut 3:13, Deut 3:14, 1 Kgs 4:13",TBC,TBC,33.144,36.136,TBC,TBC
Ariel,Jerusalem,TBC,TBC,TBC,"Isa 29:1, Isa 29:2, Isa 29:7",0.0,0.0,TBC,TBC
Arimathea,Ramah 4,TBC,TBC,TBC,"Matt 27:57, Mark 15:43, Luke 23:50, John 19:38",0.0,0.0,TBC,TBC
Armageddon,Megiddo,TBC,TBC,TBC,Rev 16:16,0.0,0.0,TBC,TBC
Arnon,TBC,TBC,"Num 21:13, Num 21:14, Num 21:24, Num 21:26, Num 21:28, Num 22:36, Judg 11:13, Judg 11:18, Judg 11:22, Judg 11:26, Isa 16:2, Jer 48:20",TBC,TBC,31.4288,35.677009,TBC,TBC
