ESV Name,Name,KMZ Name,MSG Name,NLT Name,NIV Name,Lat,Lon,Passages,Comment
Tabor 1,Mount Tabor,TBC,TBC,TBC,"Josh 19:22, Judg 8:18, Ps 89:12, Jer 46:18, Hos 5:1",0.0,0.0,N/A,N/A
Tabor 2,Chesulloth,TBC,TBC,TBC,1 Chr 6:77,0.0,0.0,N/A,N/A
Tabor 3,Allon-bacuth,TBC,TBC,TBC,1 Sam 10:3,0.0,0.0,N/A,N/A
Tadmor,Tadmor,TBC,TBC,TBC,2 Chr 8:4,0.0,0.0,N/A,N/A
Tahath,Terah,TBC,TBC,TBC,"Num 33:26, Num 33:27",0.0,0.0,N/A,N/A
Tahpanhes,http://en.wikipedia.org/wiki/Tahpanhes,TBC,"Jer 2:16, Jer 43:7, Jer 43:8, Jer 43:9, Jer 44:1, Jer 46:14",TBC,TBC,30.860556,32.171389,N/A,http://en.wikipedia.org/wiki/Tahpanhes
Tamar 1,Tadmor,TBC,TBC,TBC,1 Kgs 9:18,0.0,0.0,N/A,N/A
Tamar 2,TBC,TBC,"Ezek 47:18, Ezek 47:19, Ezek 48:28",TBC,TBC,31.024923,35.064154,N/A,N/A
Tappuah 1,Tappuah,TBC,TBC,TBC,"Josh 12:17, Josh 16:8, Josh 17:8",0.0,0.0,N/A,N/A
Tappuah 2,Enam,TBC,TBC,TBC,Josh 15:34,0.0,0.0,N/A,N/A
Taralah,Zela,TBC,TBC,TBC,Josh 18:27,0.0,0.0,N/A,N/A
Tarshish,Tarshish,TBC,TBC,TBC,"1 Kgs 10:22, 1 Kgs 22:48, 2 Chr 9:21, 2 Chr 20:36, 2 Chr 20:37, Ps 48:7, Ps 72:10, Isa 2:16, Isa 23:1, Isa 23:6, Isa 23:10, Isa 23:14, Isa 60:9, Isa 66:19, Jer 10:9, Ezek 27:12, Ezek 27:25, Ezek 38:13, Jonah 1:3, Jonah 4:2",0.0,0.0,N/A,N/A
Tarsus,Tarsus,TBC,TBC,TBC,"Acts 9:11, Acts 9:30, Acts 11:25, Acts 21:39, Acts 22:3",0.0,0.0,N/A,N/A
